Age;Workclass;Education;Marital Status;Occupation;Relationship;Race;Sex;Country;;
29;State-gov;Some-college;Never-married;Adm-clerical;Unmarried;Asian-Pac-Islander;Female;Philippines;;
35;Private;Some-college;Never-married;Sales;Not-in-family;Amer-Indian-Eskimo;Female;United-States;;
59;State-gov;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male;United-States;;
46;Federal-gov;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
51;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
26;Private;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male;United-States;;
35;Self-emp-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
47;Self-emp-not-inc;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
32;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Female;United-States;;
67;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
26;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male;United-States;;
47;Private;Masters;Divorced;Exec-managerial;Unmarried;White;Male;United-States;;
22;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Female;United-States;;
46;Private;Doctorate;Divorced;Prof-specialty;Unmarried;White;Female;United-States;;
38;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
27;Private;HS-grad;Never-married;Sales;Own-child;White;Male;United-States;;
23;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female;United-States;;
58;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Wife;White;Female;United-States;;
21;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
49;Private;HS-grad;Separated;Adm-clerical;Unmarried;White;Female;United-States;;
20;Private;Some-college;Never-married;Sales;Not-in-family;White;Female;United-States;;
36;;Assoc-voc;Widowed;;Not-in-family;White;Female;United-States;;
35;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male;United-States;;
25;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
19;Local-gov;Some-college;Never-married;Adm-clerical;Own-child;White;Male;United-States;;
38;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;Black;Male;United-States;;
61;Self-emp-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
58;Private;Some-college;Divorced;Other-service;Unmarried;White;Female;France;;
44;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Sales;Not-in-family;White;Male;United-States;;
32;Private;HS-grad;Separated;Other-service;Not-in-family;White;Female;United-States;;
23;Local-gov;Some-college;Separated;Exec-managerial;Unmarried;Black;Male;United-States;;
36;Private;Bachelors;Married-civ-spouse;Other-service;Husband;Black;Male;United-States;;
39;State-gov;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Male;United-States;;
72;Private;11th;Widowed;Adm-clerical;Unmarried;White;Female;United-States;;
34;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
44;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
28;Private;Some-college;Never-married;Other-service;Not-in-family;White;Female;United-States;;
53;Private;9th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;United-States;;
34;Local-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;White;Male;United-States;;
38;Private;Assoc-voc;Divorced;Adm-clerical;Unmarried;White;Female;United-States;;
37;Self-emp-not-inc;HS-grad;Divorced;Handlers-cleaners;Own-child;White;Male;United-States;;
22;Private;HS-grad;Never-married;Sales;Own-child;White;Female;United-States;;
35;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
49;Private;Assoc-voc;Married-spouse-absent;Handlers-cleaners;Unmarried;White;Male;United-States;;
27;State-gov;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
52;Self-emp-inc;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
58;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
44;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
31;Self-emp-not-inc;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
41;Federal-gov;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
45;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
44;Self-emp-not-inc;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
38;Private;HS-grad;Divorced;Handlers-cleaners;Not-in-family;White;Male;United-States;;
19;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male;United-States;;
50;;Masters;Married-spouse-absent;;Other-relative;White;Male;United-States;;
43;Federal-gov;Doctorate;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
44;Private;Assoc-acdm;Never-married;Farming-fishing;Own-child;White;Male;United-States;;
58;Private;10th;Married-civ-spouse;Other-service;Wife;White;Female;United-States;;
29;Private;HS-grad;Never-married;Craft-repair;Not-in-family;Amer-Indian-Eskimo;Male;United-States;;
36;Private;Bachelors;Married-civ-spouse;Other-service;Husband;Black;Male;United-States;;
37;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
37;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
55;Local-gov;10th;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
32;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Sales;Not-in-family;White;Female;United-States;;
44;State-gov;HS-grad;Married-civ-spouse;Prof-specialty;Wife;White;Female;United-States;;
75;Private;Assoc-voc;Widowed;Adm-clerical;Not-in-family;White;Female;Columbia;;
21;;Some-college;Never-married;;Unmarried;White;Female;United-States;;
49;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
59;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
49;Local-gov;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;Black;Male;United-States;;
53;Self-emp-not-inc;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
58;State-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
22;Private;Some-college;Married-civ-spouse;Sales;Wife;White;Female;Germany;;
54;Self-emp-inc;7th-8th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
26;Private;Assoc-voc;Never-married;Tech-support;Own-child;White;Male;United-States;;
38;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;Poland;;
19;Private;HS-grad;Married-AF-spouse;Adm-clerical;Wife;White;Female;United-States;;
43;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;;;
54;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
37;Private;Masters;Married-civ-spouse;Exec-managerial;Wife;White;Female;United-States;;
29;Private;11th;Never-married;Craft-repair;Own-child;Black;Male;Haiti;;
32;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
56;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
46;Private;Doctorate;Divorced;Prof-specialty;Unmarried;White;Female;United-States;;
50;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
17;Private;11th;Never-married;Sales;Own-child;White;Male;United-States;;
35;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
36;Self-emp-not-inc;HS-grad;Separated;Other-service;Unmarried;White;Female;United-States;;
18;Private;12th;Never-married;Machine-op-inspct;Own-child;White;Male;United-States;;
71;Self-emp-not-inc;Masters;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
31;Private;9th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
56;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
46;Private;5th-6th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;Mexico;;
34;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
25;Private;Some-college;Never-married;Sales;Not-in-family;White;Female;United-States;;
51;Private;Some-college;Widowed;Prof-specialty;Not-in-family;White;Female;United-States;;
34;Private;HS-grad;Divorced;Prof-specialty;Unmarried;White;Female;United-States;;
39;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
30;;Assoc-voc;Divorced;;Unmarried;White;Female;United-States;;
34;Private;7th-8th;Married-civ-spouse;Transport-moving;Husband;Amer-Indian-Eskimo;Male;Mexico;;
28;Private;Some-college;Never-married;Other-service;Not-in-family;White;Female;United-States;;
58;Self-emp-not-inc;10th;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
31;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
51;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male;United-States;;
76;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
42;Local-gov;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
42;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;United-States;;
34;Private;HS-grad;Divorced;Exec-managerial;Not-in-family;White;Female;United-States;;
40;State-gov;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female;United-States;;
28;Private;HS-grad;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
43;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
45;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
40;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female;United-States;;
37;Private;Some-college;Divorced;Craft-repair;Unmarried;White;Female;United-States;;
53;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
42;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
43;Private;Masters;Married-civ-spouse;Prof-specialty;Wife;Asian-Pac-Islander;Female;South;;
34;State-gov;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;;;
33;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
36;Private;Some-college;Divorced;Adm-clerical;Unmarried;Black;Female;United-States;;
20;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female;United-States;;
53;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
32;;Some-college;Married-civ-spouse;;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Tech-support;Own-child;White;Female;United-States;;
42;Private;Bachelors;Married-civ-spouse;Adm-clerical;Wife;Black;Female;United-States;;
49;Private;9th;Married-spouse-absent;Other-service;Not-in-family;Black;Female;Jamaica;;
33;Local-gov;10th;Divorced;Transport-moving;Not-in-family;White;Male;United-States;;
19;Private;HS-grad;Never-married;Other-service;Other-relative;White;Female;United-States;;
71;Self-emp-not-inc;Some-college;Separated;Sales;Unmarried;Black;Male;United-States;;
44;Private;Assoc-acdm;Never-married;Farming-fishing;Own-child;White;Male;United-States;;
37;Private;Assoc-voc;Married-civ-spouse;Tech-support;Wife;White;Female;United-States;;
17;Private;11th;Never-married;Other-service;Own-child;White;Male;United-States;;
20;Private;HS-grad;Never-married;Other-service;Own-child;White;Female;United-States;;
32;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
28;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
27;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Male;United-States;;
44;State-gov;HS-grad;Married-civ-spouse;Prof-specialty;Wife;White;Female;United-States;;
24;Private;Some-college;Never-married;Transport-moving;Own-child;White;Male;United-States;;
23;Private;HS-grad;Never-married;Sales;Not-in-family;White;Female;United-States;;
30;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;Black;Male;United-States;;
51;Private;7th-8th;Widowed;Other-service;Unmarried;Black;Female;United-States;;
28;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
47;Private;Prof-school;Married-civ-spouse;Prof-specialty;Wife;White;Female;Honduras;;
39;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
43;Self-emp-not-inc;Masters;Divorced;Exec-managerial;Unmarried;White;Female;United-States;;
26;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
53;Self-emp-inc;Doctorate;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
29;Local-gov;HS-grad;Never-married;Protective-serv;Own-child;White;Male;United-States;;
41;Local-gov;Bachelors;Married-civ-spouse;Craft-repair;Husband;Black;Male;United-States;;
31;Self-emp-not-inc;Bachelors;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
41;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
37;Federal-gov;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
42;Local-gov;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
33;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
20;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
25;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male;United-States;;
29;Private;Some-college;Divorced;Tech-support;Not-in-family;White;Male;United-States;;
40;Private;Assoc-acdm;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Sales;Own-child;Black;Male;United-States;;
34;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
46;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
23;;HS-grad;Never-married;;Unmarried;Black;Female;United-States;;
49;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
23;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
72;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
41;Self-emp-inc;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
44;Self-emp-not-inc;HS-grad;Married-civ-spouse;Sales;Wife;White;Female;United-States;;
48;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male;India;;
31;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
26;Private;Assoc-acdm;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
29;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;United-States;;
29;Local-gov;Some-college;Never-married;Handlers-cleaners;Not-in-family;White;Male;United-States;;
53;;5th-6th;Widowed;;Unmarried;Black;Female;United-States;;
17;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
59;Private;HS-grad;Divorced;Tech-support;Unmarried;White;Female;United-States;;
21;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
22;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;United-States;;
32;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Female;United-States;;
33;Private;HS-grad;Never-married;Farming-fishing;Not-in-family;White;Male;United-States;;
44;Private;Bachelors;Divorced;Exec-managerial;Own-child;White;Female;United-States;;
26;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;Portugal;;
29;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;United-States;;
41;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
29;Private;Some-college;Divorced;Tech-support;Not-in-family;White;Male;United-States;;
27;Private;HS-grad;Married-spouse-absent;Sales;Unmarried;White;Female;United-States;;
39;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
34;Local-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;White;Male;United-States;;
17;;11th;Never-married;;Own-child;White;Male;United-States;;
22;;Some-college;Never-married;;Own-child;White;Male;United-States;;
45;Private;Bachelors;Divorced;Exec-managerial;Own-child;White;Male;United-States;;
18;Private;11th;Never-married;Other-service;Own-child;White;Male;United-States;;
50;Self-emp-inc;Doctorate;Separated;Prof-specialty;Not-in-family;White;Male;United-States;;
50;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
45;;Some-college;Married-civ-spouse;;Wife;Black;Female;United-States;;
18;Private;HS-grad;Never-married;Sales;Not-in-family;White;Male;United-States;;
28;Private;Bachelors;Married-civ-spouse;Prof-specialty;Wife;Black;Female;Cuba;;
40;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
37;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;Black;Male;United-States;;
48;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
25;Private;Some-college;Never-married;Adm-clerical;Not-in-family;Amer-Indian-Eskimo;Female;United-States;;
42;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
36;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
65;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
48;Private;Assoc-voc;Never-married;Adm-clerical;Unmarried;White;Male;United-States;;
47;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
80;;HS-grad;Widowed;;Not-in-family;White;Male;United-States;;
20;Private;HS-grad;Never-married;Transport-moving;Own-child;White;Male;United-States;;
27;;Assoc-acdm;Married-civ-spouse;;Own-child;Amer-Indian-Eskimo;Male;United-States;;
19;Private;HS-grad;Never-married;Other-service;Own-child;White;Female;United-States;;
18;Private;11th;Never-married;Other-service;Own-child;White;Female;United-States;;
27;Private;Some-college;Never-married;Craft-repair;Own-child;Asian-Pac-Islander;Male;Philippines;;
37;Self-emp-inc;Bachelors;Divorced;Sales;Not-in-family;White;Female;United-States;;
17;;11th;Never-married;;Own-child;White;Female;United-States;;
31;Private;HS-grad;Separated;Adm-clerical;Unmarried;White;Female;;;
31;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male;United-States;;
62;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
35;Private;Masters;Never-married;Sales;Not-in-family;White;Male;United-States;;
35;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
39;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
52;;12th;Never-married;;Other-relative;Black;Male;United-States;;
58;Self-emp-not-inc;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;United-States;;
23;;Some-college;Never-married;;Unmarried;Amer-Indian-Eskimo;Female;United-States;;
30;Private;Assoc-acdm;Married-civ-spouse;Other-service;Wife;White;Female;United-States;;
46;Private;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female;United-States;;
42;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Wife;White;Female;United-States;;
24;Private;Bachelors;Never-married;Prof-specialty;Own-child;Black;Male;United-States;;
35;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male;United-States;;
39;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
50;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Sales;Own-child;White;Male;United-States;;
72;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
32;Self-emp-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
29;Private;Doctorate;Never-married;Prof-specialty;Own-child;White;Male;United-States;;
27;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Female;United-States;;
36;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
32;Private;10th;Separated;Other-service;Unmarried;White;Female;United-States;;
75;Private;Assoc-voc;Widowed;Adm-clerical;Not-in-family;White;Female;Columbia;;
24;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;Black;Male;United-States;;
24;Private;Bachelors;Never-married;Sales;Other-relative;White;Male;United-States;;
48;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male;India;;
43;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
52;Private;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
46;Private;Masters;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
31;Private;Bachelors;Never-married;Prof-specialty;Own-child;White;Male;United-States;;
43;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;England;;
30;Private;Bachelors;Never-married;Prof-specialty;Own-child;White;Female;Poland;;
47;Private;9th;Married-spouse-absent;Handlers-cleaners;Unmarried;White;Male;El-Salvador;;
20;Private;Some-college;Never-married;Sales;Not-in-family;White;Female;United-States;;
39;Private;HS-grad;Separated;Machine-op-inspct;Unmarried;White;Female;United-States;;
39;Private;HS-grad;Divorced;Other-service;Unmarried;White;Female;United-States;;
27;Private;Bachelors;Never-married;Tech-support;Unmarried;Black;Female;United-States;;
41;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
60;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
33;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
64;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
53;;5th-6th;Widowed;;Unmarried;Black;Female;United-States;;
22;Private;Bachelors;Never-married;Prof-specialty;Unmarried;White;Male;United-States;;
32;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Female;United-States;;
50;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
35;Private;12th;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
34;Private;HS-grad;Divorced;Handlers-cleaners;Own-child;White;Male;United-States;;
41;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
23;Private;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
48;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
35;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;United-States;;
27;Private;HS-grad;Never-married;Sales;Own-child;White;Male;United-States;;
65;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
23;Local-gov;Assoc-acdm;Never-married;Protective-serv;Not-in-family;White;Male;United-States;;
49;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
